	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
"Sebastian Vettel"	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																	
"Mark Webber"	2	3	3	3	3	3	2	2	2	1	1	6	6	6	6	6	8	8	8	8	8	8	7	7	7	7	6	6	5	5	5	5	7	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	9	9
"Fernando Alonso"	3	18	18	18	18	15	13	13	15	13	10	10	10	9	8	8	7	7	7	7	7	7	8	8	8	8	7	7	7	7	7	7	6	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
"Jenson Button"	4	6	6	6	6	6	19	19	12	4	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"Felipe Massa"	5	2	2	2	2	2	3	3	9	7	6	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	5	5	6	6	6	6	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
"Nico Rosberg"	6	5	5	5	5	5	5	5	7	6	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	5	5
"Michael Schumacher"	7																																																										
"Rubens Barrichello"	8	9	9	9	9	9	8	7	10	8	7	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	8	8	8	8	8	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	8	8
"Robert Kubica"	9	4	4	4	4	4	4	4	6	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
"Adrian Sutil"	10	8	8	8	8	8	7	9	5	2																																																	
"Lewis Hamilton"	11	7	7	7	7	7	6	6	11	11	8	7	7	7	7	7	6	6	6	6	6	6	5	5	5	5	3	3	3	3	3	3	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6
"Sebastien Buemi"	12																																																										
"Vitantonio Liuzzi"	13	12	12	12	12	12	11	11	3	9	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	10	9	9	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	7	7	7
"Pedro De La Rosa"	14	11	11	11	11	11	10	10	13	12	9	9	9	10	10	10	10	10	10	10	10	11	11	11	11	11	10	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	12	12
"Nico Hulkenberg"	15																																																										
"Kamui Kobayashi"	16																																																										
"Jaime Alguersuari"	17	13	13	13	13	13	12	12	4	10	12	12	12	12	12	12	12	12	12	12	12	12	12	13	13	13	12	12	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	12	11	11
"Vitaly Petrov"	18	10	10	10	10	10	9	8	14	14																																																	
"Heikki Kovalainen"	19	15	15	15	14	14	14	15	18	18	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13		
"Jarno Trulli"	20	20	20	20	20	17	15	14	17	15	13	13	13	13	13	13	13	13	13	13	13	13	13	12	12	12	11	11	11	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	10	10
"Bruno Senna"	21	14	14	14	15																																																						
"Karun Chandock"	22	16	16	16	16	19	18	18	19	19	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	16	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14					
"Timo Glock"	23	17	17	17	17	16	16	16	8	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14																	
"Luca di Grassi"	24	19	19	19	19	18	17	17	16	16	17	17	17	17	17	17	17	17	17	17	16	16	16	16	16	17	16																																
